    timestamp,can_id,anomaly_label,anomaly_score,severity
    205.0,60,1,8.284136475089085,0.005535833338741573
    901.0,60,1,8.447663834579494,0.002655533088799179
    1201.0,60,1,8.465146474374109,0.0023476014257001036
    2005.0,60,1,8.420454034039166,0.003134794758170088
    2805.0,60,1,8.416280283711664,0.0032083093929624637
    3205.0,60,1,8.463410948532152,0.002378170227960147
    3501.0,60,1,8.465146474374109,0.0023476014257001036
    4105.0,60,1,8.447032664000814,0.0026666502546434413
    4801.0,60,1,8.447032664000814,0.0026666502546434413
    5205.0,60,1,8.463410948532152,0.002378170227960147
    5605.0,60,1,8.463410948532152,0.002378170227960147
    5703.0,60,1,8.440428356892587,0.002782975666328671
    5903.0,60,1,8.447411655452209,0.002659974862980656
    6803.0,60,1,8.30878414727937,0.005101699891033448
    7103.0,60,1,8.465146474374109,0.0023476014257001036
    7203.0,60,1,8.447772524548776,0.0026536186706451375
    7506.0,60,1,8.465146474374109,0.0023476014257001036
    7703.0,60,1,8.465146474374109,0.0023476014257001036
    7903.0,60,1,8.465146474374109,0.0023476014257001036
    8203.0,60,1,8.465146474374109,0.0023476014257001036
    8303.0,60,1,8.44135350791035,0.0027666804560592746
    8803.0,60,1,8.449865933759941,0.002616746265361155
    8903.0,60,1,8.443712084903993,0.0027251375000336363
    9403.0,60,1,8.449865933759941,0.002616746265361155
    9406.0,60,1,2.412610478762093,0.10895435515347052
    9506.0,60,1,8.276138100059917,0.005676713260409943
    9603.0,60,1,6.8873580315420835,0.030138085295843182
    9703.0,60,1,6.8873579189268845,0.030138087279398637
    10003.0,60,1,6.887358227909305,0.030138081837115797
    10403.0,60,1,6.887358202319729,0.030138082287839527
    10603.0,60,1,6.887358355883458,0.030138079583034365
    10808.0,60,1,8.339344203056651,0.00456342827356311
    10908.0,60,1,8.307493202376023,0.005124438036744117
    11303.0,60,1,8.240912518788988,0.006297161427953264
    11503.0,60,-1,-13.141342332897546,0.3829149591198238
    11508.0,60,1,8.341143051948544,0.004531744126463364
    11708.0,60,1,8.31263941092988,0.005033794942951615
    11908.0,60,1,8.294404014502174,0.005354985336120041
