timestamp,can_id,b0,b1,b2,b3,b4,b5,b6,b7
1781970887.923414,1009,12,28,87,240,0,0,0,0
1781970888.0281246,1490,0,50,1,1,0,0,0,0
1781970888.139327,1767,81,18,42,0,0,0,0,0
1781970888.2509956,418,15,106,155,141,0,0,0,0
1781970888.361931,1009,12,28,87,240,0,0,0,0
1781970888.4730353,1490,0,0,0,3,0,0,0,0
1781970888.5841718,1767,81,18,35,0,0,0,0,0
1781970888.6949248,418,15,102,155,141,0,0,0,0
1781970888.8056338,1009,12,28,87,240,0,0,0,0
1781970888.9169383,1490,1,134,5,20,0,0,0,0
1781970889.0281947,1767,81,18,28,0,0,0,0,0
1781970889.139307,418,15,99,154,142,0,0,0,0
1781970889.2496002,1009,12,28,87,240,0,0,0,0
1781970889.3609169,1490,5,240,31,24,0,0,0,0
1781970889.4715958,1767,81,18,33,0,0,0,0,0
1781970889.5827103,418,15,100,153,143,0,0,0,0
1781970889.6938455,1009,12,28,88,240,0,0,0,0
1781970889.8049834,1490,8,112,36,35,0,0,0,0
1781970889.9166763,1767,82,18,38,0,0,0,0,0
1781970890.0292435,418,15,95,151,144,0,0,0,0
1781970890.1406176,1009,12,28,88,240,0,0,0,0
1781970890.251413,1490,10,220,40,34,0,0,0,0
1781970890.3634076,1767,82,18,42,0,0,0,0,0
1781970890.4750218,418,15,96,150,146,0,0,0,0
1781970890.586112,1009,12,28,89,240,0,0,0,0
1781970890.697372,1490,14,186,47,39,0,0,0,0
1781970890.808498,1767,82,18,50,0,0,0,0,0
1781970890.919646,418,15,96,148,147,0,0,0,0
1781970891.0305998,1009,12,28,89,240,0,0,0,0
1781970891.141461,1490,14,136,22,39,0,0,0,0
1781970891.2525034,1767,83,18,52,0,0,0,0,0
1781970891.364633,418,15,109,147,148,0,0,0,0
1781970891.4705982,1009,12,28,89,240,0,0,0,0
1781970891.5815496,1490,15,200,9,43,0,0,0,0
1781970891.6923935,1767,83,18,58,0,0,0,0,0
1781970891.8030007,418,15,116,145,149,0,0,0,0
1781970891.9155798,1009,12,28,90,240,0,0,0,0
1781970892.026176,1490,17,118,2,50,0,0,0,0
1781970892.1374183,1767,83,18,62,0,0,0,0,0
1781970892.2479022,418,15,110,144,149,0,0,0,0
1781970892.3629863,1009,12,28,90,240,0,0,0,0
1781970892.4736462,1490,17,88,10,51,0,0,0,0
1781970892.5847313,1767,83,40,68,0,0,0,0,0
1781970892.696216,418,15,105,143,150,0,0,0,0
1781970892.8070533,1009,12,28,91,240,0,0,0,0
1781970892.9190702,1490,17,48,12,55,0,0,0,0
1781970893.0307345,1767,84,40,70,0,0,0,0,0
1781970893.141856,418,15,99,142,151,0,0,0,0
1781970893.24949,1009,12,28,91,240,0,0,0,0
1781970893.3615746,1490,23,112,0,90,0,0,0,0
1781970893.4732141,1767,85,40,82,0,0,0,0,0
1781970893.5852928,418,15,91,139,154,0,0,0,0
1781970893.6968513,1009,12,28,93,240,0,0,0,0
1781970893.8079004,1490,27,238,0,105,0,0,0,0
1781970893.9193397,1767,87,40,108,0,0,0,0,0
1781970894.0307446,418,15,97,136,156,0,0,0,0
1781970894.1407437,1009,12,28,96,240,0,0,0,0
1781970894.2512326,1490,32,8,0,93,0,0,0,0
1781970894.3624074,1767,89,40,138,0,0,0,0,0
1781970894.4731286,418,15,89,133,159,0,0,0,0
1781970894.5842626,1009,12,28,98,240,0,0,0,0
1781970894.6956563,1490,36,4,0,111,0,0,0,0
1781970894.8075778,1767,91,70,170,1,0,0,0,0
1781970894.9194846,418,15,101,130,162,0,0,0,0
1781970895.0306737,1009,12,28,100,240,0,0,0,0
1781970895.1408856,1490,40,190,14,119,0,0,0,0
1781970895.2507932,1767,93,70,204,1,0,0,0,0
1781970895.36063,418,15,107,127,165,0,0,0,0
1781970895.4714346,1009,12,28,103,240,0,0,0,0
1781970895.582398,1490,44,96,42,130,0,0,0,0
1781970895.6939135,1767,96,70,5,1,0,0,0,0
1781970895.8051639,418,15,102,122,169,0,0,0,0
1781970895.9162478,1009,12,28,107,240,0,0,0,0
1781970896.0278876,1490,45,30,92,123,0,0,0,0
1781970896.1391032,1767,100,70,73,1,0,0,0,0
1781970896.250064,418,15,90,115,175,0,0,0,0
1781970896.3565798,1009,12,28,111,240,0,0,0,0
1781970896.465903,1490,46,74,19,111,0,0,0,0
1781970896.5761042,1767,103,100,155,1,0,0,0,0
1781970896.687515,418,15,90,108,182,0,0,0,0
1781970896.7895734,1009,12,28,116,240,0,0,0,0
1781970896.89201,1490,47,148,23,122,0,0,0,0
1781970896.9956698,1767,106,100,164,1,0,0,0,0
1781970897.0970159,418,15,94,101,187,0,0,0,0
1781970897.2010884,1009,12,28,120,240,0,0,0,0
1781970897.3017313,1490,48,102,20,117,0,0,0,0
1781970897.405847,1767,109,100,164,1,0,0,0,0
1781970897.5169625,418,15,90,94,194,0,0,0,0
1781970897.6273906,1009,12,28,125,240,0,0,0,0
1781970897.7389898,1490,1,44,20,4,0,0,0,0
1781970897.850543,1767,90,40,75,0,0,0,0,0
1781970897.9619253,418,15,97,147,159,0,0,0,0
1781970898.0731292,1009,12,28,94,240,0,0,0,0
1781970898.1849015,1490,0,70,16,4,0,0,0,0
1781970898.2959406,1767,89,40,69,0,0,0,0,0
1781970898.4096375,418,15,90,147,159,0,0,0,0
1781970898.5209904,1009,12,28,94,240,0,0,0,0
1781970898.6324937,1490,0,20,13,0,0,0,0,0
1781970898.7330735,1767,89,40,67,0,0,0,0,0
1781970898.8367145,418,15,79,146,159,0,0,0,0
1781970898.9478714,1009,12,28,94,240,0,0,0,0
1781970899.0517728,1490,4,66,16,25,0,0,0,0
1781970899.155938,1767,89,70,70,1,0,0,0,0
1781970899.26023,418,15,78,145,160,0,0,0,0
1781970899.3649173,1009,12,28,94,240,0,0,0,0
1781970899.4689047,1490,9,106,20,20,0,0,0,0
1781970899.57258,1767,90,70,70,1,0,0,0,0
1781970899.6768405,418,15,69,143,161,0,0,0,0
1781970899.7810657,1009,12,28,95,240,0,0,0,0
1781970899.8837953,1490,11,244,22,27,0,0,0,0
1781970899.9893498,1767,90,70,73,1,0,0,0,0
1781970900.0935578,418,15,65,142,162,0,0,0,0
1781970900.1938121,1009,12,28,95,240,0,0,0,0
1781970900.2950623,1490,15,130,0,29,0,0,0,0
1781970900.3959534,1767,90,70,78,1,0,0,0,0
1781970900.5005012,418,15,70,140,163,0,0,0,0
1781970900.60739,1009,12,28,95,240,0,0,0,0
1781970900.7131748,1490,15,239,0,32,0,0,0,0
1781970900.8139787,1767,91,70,84,1,0,0,0,0
1781970900.9264815,418,15,58,139,164,0,0,0,0
1781970901.0376618,1009,12,28,96,240,0,0,0,0
1781970901.1493108,1490,18,232,0,37,0,0,0,0
1781970901.2601597,1767,91,70,84,1,0,0,0,0
1781970901.3714623,418,15,56,137,166,0,0,0,0
1781970901.4756632,1009,12,28,96,240,0,0,0,0
1781970901.586684,1490,18,152,0,39,0,0,0,0
1781970901.6908152,1767,91,70,88,1,0,0,0,0
1781970901.7949402,418,15,42,136,167,0,0,0,0
1781970901.899105,1009,12,28,97,240,0,0,0,0
1781970902.0033152,1490,19,96,11,29,0,0,0,0
1781970902.1075122,1767,91,70,86,1,0,0,0,0
1781970902.2116168,418,15,51,134,168,0,0,0,0
1781970902.3158638,1009,12,28,97,240,0,0,0,0
1781970902.4174526,1490,18,172,7,40,0,0,0,0
1781970902.518234,1767,92,70,90,1,0,0,0,0
1781970902.6197639,418,15,54,133,169,0,0,0,0
1781970902.7196045,1009,12,28,97,240,0,0,0,0
1781970902.8218594,1490,19,76,14,45,0,0,0,0
1781970902.926248,1767,92,70,90,1,0,0,0,0
1781970903.03199,418,15,49,131,170,0,0,0,0
1781970903.1404142,1009,12,28,99,240,0,0,0,0
1781970903.2513428,1490,25,159,13,97,0,0,0,0
1781970903.362916,1767,93,70,123,1,0,0,0,0
1781970903.4679885,418,15,53,128,172,0,0,0,0
1781970903.572336,1009,12,28,101,240,0,0,0,0
1781970903.6767716,1490,29,216,26,116,0,0,0,0
1781970903.7811108,1767,96,70,159,1,0,0,0,0
1781970903.8852313,418,15,73,125,175,0,0,0,0
1781970903.9912865,1009,12,28,104,240,0,0,0,0
1781970904.0971575,1490,33,82,13,123,0,0,0,0
1781970904.2054174,1767,98,70,193,1,0,0,0,0
1781970904.3171964,418,15,78,122,178,0,0,0,0
1781970904.428519,1009,12,28,106,240,0,0,0,0
1781970904.5404875,1490,37,128,43,134,0,0,0,0
1781970904.652208,1767,100,70,219,1,0,0,0,0
1781970904.7637496,418,15,79,119,180,0,0,0,0
1781970904.8643491,1009,12,28,108,240,0,0,0,0
1781970904.9685407,1490,41,124,67,138,0,0,0,0
1781970905.0727203,1767,102,100,220,1,0,0,0,0
1781970905.1734421,418,15,74,115,184,0,0,0,0
1781970905.2772207,1009,12,28,111,240,0,0,0,0
